"会员","级别","评价星级","评价内容","时间","点赞数","评论数","追评时间","追评内容","页面网址","页面标题","采集时间"
"党***朵","京享值22948","star5","不要买白色 太丑了","2017-11-11 17:44","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:16.6202185"
"jd185027xqx","京享值19769","star5","机子不错，用着爽，朋友也让我准备代买","2017-11-10 17:19","4","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:16.7352958"
"木***为","PLUS会员","star5","货真价实，值得信赖","2017-11-09 22:33","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:16.8533732"
"早***4","京享值11560","star5","很好，没有白等三天","2017-11-09 20:04","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:19.4310900"
"王***阿","京享值34473","star5","不错可以很好吊炸天","2017-11-09 14:03","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:19.5301572"
"j***m","京享值9307","star5","不错，老婆很喜欢，","2017-11-09 12:28","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:19.6242199"
"j***6","京享值17366","star5","基本不错。值得信赖","2017-11-09 12:42","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:19.7222852"
"老***丶","京享值15588","star5","还可以，手机是正品","2017-11-08 14:34","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:19.8243519"
"訾***东","京享值9214","star5","还行，用着比较习惯","2017-11-07 19:37","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:19.9274212"
"j***n","京享值8895","star5","两天到货，速度还好","2017-11-07 18:29","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:20.0444998"
"z***7","京享值11707","star5","很好不错手机很棒！","2017-11-06 17:20","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:20.1545725"
"j***3","京享值20958","star5","绝对是正品！不错不错！送的礼物都很实用！这个颜色也是自己喜欢的！","2017-11-17 16:29","1","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:20.2726511"
"荔***子","京享值56672","star5","非常好。真的","2017-11-05 12:17","1","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:20.3887278"
"早***4","京享值11560","star5","很好，没有白等三天","2017-11-09 20:04","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:23.0114752"
"王***阿","京享值34473","star5","不错可以很好吊炸天","2017-11-09 14:03","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:23.1125432"
"j***m","京享值9307","star5","不错，老婆很喜欢，","2017-11-09 12:28","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:23.2066046"
"j***6","京享值17366","star5","基本不错。值得信赖","2017-11-09 12:42","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:23.3056712"
"老***丶","京享值15588","star5","还可以，手机是正品","2017-11-08 14:34","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:23.4047372"
"訾***东","京享值9214","star5","还行，用着比较习惯","2017-11-07 19:37","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:23.5058038"
"j***n","京享值8895","star5","两天到货，速度还好","2017-11-07 18:29","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:23.6168785"
"z***7","京享值11707","star5","很好不错手机很棒！","2017-11-06 17:20","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:23.7259517"
"j***3","京享值20958","star5","绝对是正品！不错不错！送的礼物都很实用！这个颜色也是自己喜欢的！","2017-11-17 16:29","1","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:23.8440304"
"荔***子","京享值56672","star5","非常好。真的","2017-11-05 12:17","1","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:23.9611084"
"早***4","京享值11560","star5","很好，没有白等三天","2017-11-09 20:04","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:26.5918592"
"王***阿","京享值34473","star5","不错可以很好吊炸天","2017-11-09 14:03","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:26.6959292"
"j***m","京享值9307","star5","不错，老婆很喜欢，","2017-11-09 12:28","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:26.7939958"
"j***6","京享值17366","star5","基本不错。值得信赖","2017-11-09 12:42","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:26.8870565"
"老***丶","京享值15588","star5","还可以，手机是正品","2017-11-08 14:34","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:26.9951278"
"訾***东","京享值9214","star5","还行，用着比较习惯","2017-11-07 19:37","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:27.0991978"
"j***n","京享值8895","star5","两天到货，速度还好","2017-11-07 18:29","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:27.2022658"
"z***7","京享值11707","star5","很好不错手机很棒！","2017-11-06 17:20","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:27.3183437"
"j***3","京享值20958","star5","绝对是正品！不错不错！送的礼物都很实用！这个颜色也是自己喜欢的！","2017-11-17 16:29","1","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:27.4324204"
"荔***子","京享值56672","star5","非常好。真的","2017-11-05 12:17","1","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:27.5504984"
"早***4","京享值11560","star5","很好，没有白等三天","2017-11-09 20:04","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:30.2623045"
"王***阿","京享值34473","star5","不错可以很好吊炸天","2017-11-09 14:03","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:30.3673751"
"j***m","京享值9307","star5","不错，老婆很喜欢，","2017-11-09 12:28","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:30.4604371"
"j***6","京享值17366","star5","基本不错。值得信赖","2017-11-09 12:42","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:30.5524978"
"老***丶","京享值15588","star5","还可以，手机是正品","2017-11-08 14:34","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:30.9237457"
"訾***东","京享值9214","star5","还行，用着比较习惯","2017-11-07 19:37","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:31.0258124"
"j***n","京享值8895","star5","两天到货，速度还好","2017-11-07 18:29","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:31.1408903"
"z***7","京享值11707","star5","很好不错手机很棒！","2017-11-06 17:20","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:31.2499623"
"j***3","京享值20958","star5","绝对是正品！不错不错！送的礼物都很实用！这个颜色也是自己喜欢的！","2017-11-17 16:29","1","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:31.3720436"
"荔***子","京享值56672","star5","非常好。真的","2017-11-05 12:17","1","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:31.4921236"
"早***4","京享值11560","star5","很好，没有白等三天","2017-11-09 20:04","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:33.7636377"
"王***阿","京享值34473","star5","不错可以很好吊炸天","2017-11-09 14:03","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:33.8727085"
"j***m","京享值9307","star5","不错，老婆很喜欢，","2017-11-09 12:28","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:33.9687724"
"j***6","京享值17366","star5","基本不错。值得信赖","2017-11-09 12:42","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:34.6152043"
"老***丶","京享值15588","star5","还可以，手机是正品","2017-11-08 14:34","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:34.7142696"
"訾***东","京享值9214","star5","还行，用着比较习惯","2017-11-07 19:37","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:34.8153376"
"j***n","京享值8895","star5","两天到货，速度还好","2017-11-07 18:29","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:34.9164036"
"z***7","京享值11707","star5","很好不错手机很棒！","2017-11-06 17:20","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:35.0554975"
"j***3","京享值20958","star5","绝对是正品！不错不错！送的礼物都很实用！这个颜色也是自己喜欢的！","2017-11-17 16:29","1","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:35.1725755"
"荔***子","京享值56672","star5","非常好。真的","2017-11-05 12:17","1","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:35.2946562"
"早***4","京享值11560","star5","很好，没有白等三天","2017-11-09 20:04","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:37.5501584"
"王***阿","京享值34473","star5","不错可以很好吊炸天","2017-11-09 14:03","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:37.6592310"
"j***m","京享值9307","star5","不错，老婆很喜欢，","2017-11-09 12:28","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:37.7572963"
"j***6","京享值17366","star5","基本不错。值得信赖","2017-11-09 12:42","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:37.8763763"
"j***3","PLUS会员","star5","手机收到，好喜欢，手感很好，速度反应都很快。","2017-11-09 20:31","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:38.1045276"
"l***8","PLUS会员","star5","实效挺快 媳妇儿用起说有面儿","2017-11-11 23:40","1","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:38.2896509"
"顶***念","PLUS会员","star5","手机非常好，非常满意，下次介绍朋友来买","2017-11-06 11:52","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:38.4527595"
"系***董","京享值12517","star5","其实大家关注的就是不是原装。签收时就打开了，绝对原装，苹果各种设计就是担心被调包，盒子外的膜如果撕开就回不去，绝对OK的，里面耳机、线啥的就不用说啦，原装。至于手机好不好，就不用我说了。价格虽然贵了点，但还是好值的，不用拼死拼活去抢啊预约啊。谢谢卖家，不错。就是赠品质量哈哈哈哈哈哈红红火火恍恍惚惚。","2017-11-09 10:55","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:38.5698382"
"j***w","京享值11015","star5","很棒，速度到货，iphone x国行正品，全面屏真心赞","2017-11-11 16:18","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:38.6979235"
"j***e","京享值41608","star5","买的时候确实不放心，收到了还是不错，唯一就是没有发票","2017-11-20 14:08","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:38.8200048"
"c***德","京享值10230","star5","手机挺好用，喜欢","2017-11-09 18:15","0","1",,,"https://item.jd.com/16580907535.html#askAnswer","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:41.5208036"
"狐***白","京享值13735","star5","好。。。。。。。","2017-11-09 03:40","0","1",,,"https://item.jd.com/16580907535.html#askAnswer","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:41.6198689"
"j***场","京享值21373","star5","手机目前用着没得问题，但是没有发票啊( ´▽｀)","2017-11-09 11:10","0","2",,,"https://item.jd.com/16580907535.html#askAnswer","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:41.7159329"
"1***6","京享值21014","star5","特别好的一次购买","2017-11-05 13:44","0","1",,,"https://item.jd.com/16580907535.html#askAnswer","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:41.8129982"
"丁***8","京享值10577","star5","好东西就是不一样","2017-11-05 11:29","0","1",,,"https://item.jd.com/16580907535.html#askAnswer","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:41.9110629"
"l***8","PLUS会员","star5","实效挺快 媳妇儿用起说有面儿","2017-11-11 23:40","1","1",,,"https://item.jd.com/16580907535.html#askAnswer","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:42.0151322"
"顶***念","PLUS会员","star5","手机非常好，非常满意，下次介绍朋友来买","2017-11-06 11:52","0","1",,,"https://item.jd.com/16580907535.html#askAnswer","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:42.1222041"
"系***董","京享值12517","star5","其实大家关注的就是不是原装。签收时就打开了，绝对原装，苹果各种设计就是担心被调包，盒子外的膜如果撕开就回不去，绝对OK的，里面耳机、线啥的就不用说啦，原装。至于手机好不好，就不用我说了。价格虽然贵了点，但还是好值的，不用拼死拼活去抢啊预约啊。谢谢卖家，不错。就是赠品质量哈哈哈哈哈哈红红火火恍恍惚惚。","2017-11-09 10:55","0","1",,,"https://item.jd.com/16580907535.html#askAnswer","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:42.2332768"
"j***w","京享值11015","star5","很棒，速度到货，iphone x国行正品，全面屏真心赞","2017-11-11 16:18","0","1",,,"https://item.jd.com/16580907535.html#askAnswer","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:42.3503554"
"j***e","京享值41608","star5","买的时候确实不放心，收到了还是不错，唯一就是没有发票","2017-11-20 14:08","0","1",,,"https://item.jd.com/16580907535.html#askAnswer","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:42.4854454"
"c***德","京享值10230","star5","手机挺好用，喜欢","2017-11-09 18:15","0","1",,,"https://item.jd.com/16580907535.html#askAnswer","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:45.1662315"
"狐***白","京享值13735","star5","好。。。。。。。","2017-11-09 03:40","0","1",,,"https://item.jd.com/16580907535.html#askAnswer","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:45.2672988"
"j***场","京享值21373","star5","手机目前用着没得问题，但是没有发票啊( ´▽｀)","2017-11-09 11:10","0","2",,,"https://item.jd.com/16580907535.html#askAnswer","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:45.3613615"
"1***6","京享值21014","star5","特别好的一次购买","2017-11-05 13:44","0","1",,,"https://item.jd.com/16580907535.html#askAnswer","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:45.4554235"
"丁***8","京享值10577","star5","好东西就是不一样","2017-11-05 11:29","0","1",,,"https://item.jd.com/16580907535.html#askAnswer","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:45.5524881"
"l***8","PLUS会员","star5","实效挺快 媳妇儿用起说有面儿","2017-11-11 23:40","1","1",,,"https://item.jd.com/16580907535.html#askAnswer","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:45.9797727"
"顶***念","PLUS会员","star5","手机非常好，非常满意，下次介绍朋友来买","2017-11-06 11:52","0","1",,,"https://item.jd.com/16580907535.html#askAnswer","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:46.0868434"
"系***董","京享值12517","star5","其实大家关注的就是不是原装。签收时就打开了，绝对原装，苹果各种设计就是担心被调包，盒子外的膜如果撕开就回不去，绝对OK的，里面耳机、线啥的就不用说啦，原装。至于手机好不好，就不用我说了。价格虽然贵了点，但还是好值的，不用拼死拼活去抢啊预约啊。谢谢卖家，不错。就是赠品质量哈哈哈哈哈哈红红火火恍恍惚惚。","2017-11-09 10:55","0","1",,,"https://item.jd.com/16580907535.html#askAnswer","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:46.2039220"
"j***w","京享值11015","star5","很棒，速度到货，iphone x国行正品，全面屏真心赞","2017-11-11 16:18","0","1",,,"https://item.jd.com/16580907535.html#askAnswer","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:46.3250027"
"j***e","京享值41608","star5","买的时候确实不放心，收到了还是不错，唯一就是没有发票","2017-11-20 14:08","0","1",,,"https://item.jd.com/16580907535.html#askAnswer","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:46.4480846"
"c***德","京享值10230","star5","手机挺好用，喜欢","2017-11-09 18:15","0","1",,,"https://item.jd.com/16580907535.html#askAnswer","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:48.7205982"
"狐***白","京享值13735","star5","好。。。。。。。","2017-11-09 03:40","0","1",,,"https://item.jd.com/16580907535.html#askAnswer","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:48.8206655"
"j***场","京享值21373","star5","手机目前用着没得问题，但是没有发票啊( ´▽｀)","2017-11-09 11:10","0","2",,,"https://item.jd.com/16580907535.html#askAnswer","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:48.9147275"
"1***6","京享值21014","star5","特别好的一次购买","2017-11-05 13:44","0","1",,,"https://item.jd.com/16580907535.html#askAnswer","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:49.0097908"
"丁***8","京享值10577","star5","好东西就是不一样","2017-11-05 11:29","0","1",,,"https://item.jd.com/16580907535.html#askAnswer","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:49.4300707"
"l***8","PLUS会员","star5","实效挺快 媳妇儿用起说有面儿","2017-11-11 23:40","1","1",,,"https://item.jd.com/16580907535.html#askAnswer","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:49.5381427"
"顶***念","PLUS会员","star5","手机非常好，非常满意，下次介绍朋友来买","2017-11-06 11:52","0","1",,,"https://item.jd.com/16580907535.html#askAnswer","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:49.6452140"
"系***董","京享值12517","star5","其实大家关注的就是不是原装。签收时就打开了，绝对原装，苹果各种设计就是担心被调包，盒子外的膜如果撕开就回不去，绝对OK的，里面耳机、线啥的就不用说啦，原装。至于手机好不好，就不用我说了。价格虽然贵了点，但还是好值的，不用拼死拼活去抢啊预约啊。谢谢卖家，不错。就是赠品质量哈哈哈哈哈哈红红火火恍恍惚惚。","2017-11-09 10:55","0","1",,,"https://item.jd.com/16580907535.html#askAnswer","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:49.7562886"
"j***w","京享值11015","star5","很棒，速度到货，iphone x国行正品，全面屏真心赞","2017-11-11 16:18","0","1",,,"https://item.jd.com/16580907535.html#askAnswer","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:49.8713653"
"j***e","京享值41608","star5","买的时候确实不放心，收到了还是不错，唯一就是没有发票","2017-11-20 14:08","0","1",,,"https://item.jd.com/16580907535.html#askAnswer","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:50.0044539"
"c***德","京享值10230","star5","手机挺好用，喜欢","2017-11-09 18:15","0","1",,,"https://item.jd.com/16580907535.html#askAnswer","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:52.2689621"
"狐***白","京享值13735","star5","好。。。。。。。","2017-11-09 03:40","0","1",,,"https://item.jd.com/16580907535.html#askAnswer","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:52.4520834"
"j***场","京享值21373","star5","手机目前用着没得问题，但是没有发票啊( ´▽｀)","2017-11-09 11:10","0","2",,,"https://item.jd.com/16580907535.html#askAnswer","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:52.5511494"
"1***6","京享值21014","star5","特别好的一次购买","2017-11-05 13:44","0","1",,,"https://item.jd.com/16580907535.html#askAnswer","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:52.6552187"
"丁***8","京享值10577","star5","好东西就是不一样","2017-11-05 11:29","0","1",,,"https://item.jd.com/16580907535.html#askAnswer","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:01:52.7562867"
